,seed,hidden_channels,mu,train_acc,val_acc,test_acc,icd
400,2,2,2,0.1429,0.316,0.319,0.2164
401,2,2,4,0.1429,0.316,0.319,0.1579
402,2,2,6,0.1429,0.316,0.319,0.1303
403,2,2,8,0.1429,0.316,0.319,0.11
404,2,2,10,0.1429,0.316,0.319,0.0963
405,2,2,12,0.1429,0.316,0.319,0.0856
406,2,2,14,0.1429,0.316,0.319,0.077
407,2,2,16,0.1429,0.316,0.319,0.07
408,2,2,18,0.1429,0.316,0.319,0.0645
409,2,2,20,0.1429,0.316,0.319,0.0598
410,2,2,22,0.1429,0.316,0.319,0.0559
411,2,2,24,0.1429,0.316,0.319,0.0524
412,2,2,26,0.1429,0.316,0.319,0.0493
413,2,2,28,0.1429,0.316,0.319,0.0466
414,2,2,30,0.1429,0.316,0.319,0.0441
415,2,2,32,0.1429,0.316,0.319,0.0419
416,2,2,34,0.1429,0.316,0.319,0.0399
417,2,2,36,0.1429,0.316,0.319,0.0381
418,2,2,38,0.1429,0.316,0.319,0.0364
419,2,2,40,0.1429,0.316,0.319,0.0349
420,2,4,0,0.9714,0.628,0.664,0.3569
421,2,4,2,0.1429,0.122,0.13,0.2469
422,2,4,4,0.1429,0.122,0.13,0.1481
423,2,4,6,0.1429,0.122,0.13,0.1244
424,2,4,8,0.1429,0.122,0.13,0.1039
425,2,4,10,0.1429,0.122,0.13,0.0892
426,2,4,12,0.1429,0.122,0.13,0.0782
427,2,4,14,0.1429,0.122,0.13,0.0692
428,2,4,16,0.1429,0.122,0.13,0.0621
429,2,4,18,0.1429,0.122,0.13,0.0563
430,2,4,20,0.1429,0.122,0.13,0.0516
431,2,4,22,0.1429,0.122,0.13,0.0475
432,2,4,24,0.1429,0.122,0.13,0.0441
433,2,4,26,0.1429,0.122,0.13,0.0412
434,2,4,28,0.1429,0.122,0.13,0.0387
435,2,4,30,0.1429,0.122,0.13,0.0365
436,2,4,32,0.1429,0.122,0.13,0.0345
437,2,4,34,0.1429,0.122,0.13,0.0328
438,2,4,36,0.1429,0.122,0.13,0.0312
