,mu,seed,train_acc,val_acc,test_acc,icd0,icd1,icd2,icd3
176,0.8,8,0.9643,0.696,0.711,tensor(0.1290),3.4011705,0.00011329268,1.3455856
177,0.9,8,0.9286,0.582,0.582,tensor(0.1585),3.787872,7.968012e-05,1.4841436
178,1.0,8,0.9286,0.59,0.588,tensor(0.1615),4.005827,7.7883735e-05,1.5292143
179,1.1,8,0.8357,0.256,0.3,tensor(0.1819),4.363548,7.5031734e-05,1.6389745
180,1.2,8,0.8214,0.252,0.286,tensor(0.1847),4.5335803,9.452941e-05,1.6594945
181,1.3,8,0.7857,0.24,0.271,tensor(0.1916),4.6967807,0.000116150164,1.6884524
182,1.4,8,0.7786,0.23,0.261,tensor(0.1933),4.8080473,0.000120365294,1.7059288
183,1.5,8,0.75,0.218,0.252,tensor(0.2007),4.913342,0.00012325699,1.7223796
184,1.6,8,0.7429,0.216,0.249,tensor(0.2021),5.0453186,0.00012749826,1.7421129
185,1.7,8,0.7357,0.212,0.244,tensor(0.2019),5.1278257,0.00012764843,1.7536427
186,1.8,8,0.7071,0.204,0.242,tensor(0.2086),5.23585,0.0001290162,1.7690995
187,1.9,8,0.6929,0.198,0.24,tensor(0.2083),5.312767,0.00012956464,1.7791653
188,2.0,8,0.6857,0.194,0.233,tensor(0.2063),5.4017487,0.00013052269,1.7916695
189,0.0,9,1.0,0.796,0.817,tensor(0.1201),1.4234827,0.00013095335,0.8467421
190,0.1,9,1.0,0.804,0.819,tensor(0.1177),1.6510428,0.00012985853,0.9161854
191,0.2,9,1.0,0.796,0.82,tensor(0.1157),1.9277313,0.0001350137,0.9938122
192,0.3,9,1.0,0.8,0.819,tensor(0.1139),2.2257528,0.00014222952,1.0709087
193,0.4,9,1.0,0.808,0.824,tensor(0.1125),2.519738,0.00015187393,1.1413141
194,0.5,9,0.9857,0.79,0.823,tensor(0.1126),2.8064482,0.0001631143,1.207158
