,seed,hidden_channels,mu,train_acc,val_acc,test_acc,icd0,icd1,icd2,icd3,icd4
344,1,128,16,0.2286,0.128,0.137,tensor(1.8454),11.402659,0.00040000916,2.4408147,"[0.006568857, 0.0015902321, 0.0009948133]"
345,1,128,18,0.2071,0.124,0.137,tensor(1.2802),11.537063,0.0004018811,2.4355109,"[0.006454963, 0.001539299, 0.001008968]"
346,1,128,20,0.2071,0.124,0.137,tensor(1.0565),11.73409,0.00040523437,2.4454348,"[0.006515786, 0.001547773, 0.0010265423]"
347,1,128,22,0.2071,0.124,0.137,tensor(0.8710),11.859906,0.00041171684,2.4417484,"[0.0064793257, 0.0014995694, 0.001044797]"
348,1,128,24,0.2,0.124,0.135,tensor(0.7611),11.845453,0.00041231414,2.4265654,"[0.0059184697, 0.0015237911, 0.0010235052]"
349,1,128,26,0.1929,0.124,0.134,tensor(0.6816),11.851753,0.00041041058,2.406404,"[0.0058407285, 0.0014776698, 0.001028534]"
350,1,128,28,0.1929,0.124,0.134,tensor(0.6046),12.055596,0.0004170801,2.4163146,"[0.006106776, 0.0014900943, 0.0010527374]"
351,1,128,30,0.1857,0.124,0.133,tensor(0.5856),12.059898,0.00041811893,2.414184,"[0.005782173, 0.001541664, 0.0010114022]"
352,1,128,32,0.15,0.124,0.13,tensor(0.8515),11.581703,0.00039657918,2.3395648,"[0.005106791, 0.0013279325, 0.00094295264]"
353,1,128,34,0.1429,0.122,0.13,tensor(0.6872),11.7184925,0.00039717363,2.3451138,"[0.004862861, 0.0013134319, 0.00094261434]"
354,1,128,36,0.15,0.124,0.13,tensor(0.4077),12.1653595,0.00039662357,2.3974547,"[0.0051080547, 0.0013474844, 0.00094709796]"
355,1,128,38,0.1429,0.122,0.13,tensor(0.5588),12.212325,0.00040029484,2.3903947,"[0.0049821413, 0.0013419198, 0.00094610004]"
356,1,128,40,0.1429,0.122,0.13,tensor(nan),,,,"[nan, nan, nan]"
357,1,256,0,1.0,0.786,0.811,tensor(1.5743),2.184169,0.00013669209,1.0559946,"[0.0022094857, 0.0015262376, 0.0003343495]"
358,1,256,2,0.9857,0.452,0.424,tensor(2.2574),10.980866,0.00073802937,2.5181777,"[0.007562905, 0.0048728664, 0.0017569826]"
359,1,256,4,0.8643,0.25,0.265,tensor(3.4288),10.666336,0.00036366406,2.4922855,"[0.00518094, 0.002459323, 0.0011019099]"
360,1,256,6,0.6571,0.216,0.222,tensor(3.8579),10.38487,0.0002670727,2.4509282,"[0.0055310237, 0.00207252, 0.000883134]"
361,1,256,8,0.4714,0.186,0.187,tensor(3.5952),10.928625,0.0003395682,2.4947321,"[0.0057157082, 0.0020936846, 0.00093100604]"
362,1,256,10,0.4,0.178,0.178,tensor(2.6921),11.566833,0.00043275722,2.5456166,"[0.006440335, 0.0022240307, 0.0009579154]"
363,1,256,12,0.3429,0.174,0.174,tensor(2.4615),11.435477,0.00047567536,2.5159853,"[0.0069941427, 0.0021822967, 0.0010641869]"
364,1,256,14,0.3143,0.174,0.161,tensor(2.0413),11.805324,0.00048474575,2.5344338,"[0.0071753943, 0.0019574305, 0.001062314]"
365,1,256,16,0.2571,0.17,0.158,tensor(2.0881),12.26309,0.0004981764,2.5600898,"[0.0068408577, 0.001816382, 0.001110159]"
366,1,256,18,0.2071,0.166,0.154,tensor(1.7655),12.464003,0.000461398,2.5625517,"[0.0065282807, 0.0017392485, 0.001024806]"
367,1,256,20,0.2,0.166,0.153,tensor(1.5084),12.558066,0.00046000836,2.5632088,"[0.0064694383, 0.0017205772, 0.0010266899]"
368,1,256,22,0.2,0.166,0.153,tensor(1.3802),12.761241,0.0004624313,2.5660453,"[0.0065353806, 0.001734976, 0.0010307821]"
369,1,256,24,0.1929,0.164,0.153,tensor(0.8673),12.711668,0.0004549499,2.5429325,"[0.0064145443, 0.0016565517, 0.0010202773]"
370,1,256,26,0.1929,0.164,0.153,tensor(0.7993),13.244881,0.0004617631,2.6001904,"[0.0065602087, 0.0017064988, 0.0010417195]"
371,1,256,28,0.1929,0.164,0.153,tensor(0.6403),13.168016,0.00045846976,2.570515,"[0.006403975, 0.001656621, 0.0010133317]"
372,1,256,30,0.1929,0.164,0.153,tensor(0.5892),13.264414,0.00046161385,2.575484,"[0.0064372146, 0.001657118, 0.0010229414]"
373,1,256,32,0.1429,0.122,0.13,tensor(nan),,,,"[nan, nan, nan]"
374,1,256,34,0.1429,0.122,0.13,tensor(nan),,,,"[nan, nan, nan]"
375,1,256,36,0.1429,0.122,0.13,tensor(nan),,,,"[nan, nan, nan]"
376,1,256,38,0.1429,0.122,0.13,tensor(nan),,,,"[nan, nan, nan]"
377,1,256,40,0.1429,0.122,0.13,tensor(nan),,,,"[nan, nan, nan]"
378,2,1,0,0.2857,0.218,0.206,tensor(0.5625),0.19304238,1.604355e-06,0.36460114,"[0.00026607543, 7.991388e-05, 8.25939e-06]"
379,2,1,2,0.1429,0.072,0.091,tensor(1.0961),2.2578351,8.6179364e-07,1.1327643,"[6.451786e-05, 5.3893476e-05, 3.8645076e-06]"
380,2,1,4,0.1429,0.072,0.091,tensor(0.8227),2.8902779,2.6336736e-06,1.2056983,"[9.560976e-05, 0.0001285002, 4.3024497e-06]"
381,2,1,6,0.1429,0.072,0.091,tensor(0.6375),3.3107228,1.7110242e-05,1.2881553,"[0.00017281482, 0.00023207624, 7.651005e-06]"
382,2,1,8,0.1429,0.072,0.091,tensor(0.4872),3.70352,4.7851576e-05,1.3517816,"[0.00029962952, 0.00034602327, 1.6994507e-05]"
383,2,1,10,0.1429,0.072,0.091,tensor(0.3623),4.116608,7.194192e-05,1.4290804,"[0.00045861577, 0.00043215873, 3.397693e-05]"
384,2,1,12,0.1429,0.072,0.091,tensor(0.2798),4.508755,9.0099944e-05,1.5012814,"[0.00062578626, 0.00048472607, 5.6316952e-05]"
385,2,1,14,0.1429,0.072,0.091,tensor(0.2267),4.8722086,0.00010493586,1.5665872,"[0.00078514585, 0.00051718875, 8.1109814e-05]"
386,2,1,16,0.1429,0.072,0.091,tensor(0.1908),5.21667,0.00011747914,1.626695,"[0.00093314203, 0.0005393704, 0.00010694751]"
